Food Name,Description,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Copper (mg),Zinc (mg),Chloride (mg),Manganese (mg),Selenium (µg),Iodine (µg),Retinol (µg),Carotene (µg),Retinol Equivalent (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K1 (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Niacin equivalent (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg)
"Ackee, canned, drained",8 cans,76.70,0.46,2.90,15.20,0.80,151.00,625,Tr,,0.80,0.1,0.0,Tr,0.7,0.0,0.0,,N,,,N,4.30,0.52,0.60,0.07,58.50,7.11,,N,4.90,0.60,,N,36.50,4.44,0.10,0.01,0.00,0.00,0.00,240.00,270.00,35.00,40.00,47.00,0.70,0.27,0.60,340.00,N,N,Tr,0.00,N,N,0.00,N,,0.03,0.07,0.60,0.50,1.10,0.06,0.00,41.00,N,N,30.00
"Agar, dried",Literature sources,9.70,0.26,1.30,1.20,Tr,16.00,67,0.00,,Tr,0.0,0.0,0.0,0.0,0.0,0.0,,81.1,,,0.30,,,,,,,,0.10,,,,0.40,,,,,,,0.00,110.00,110.00,760.00,620.00,50.00,20.60,N,14.40,N,4.30,N,N,0.00,0.00,0.00,0.00,Tr,,0.01,0.22,0.20,N,N,Tr,0.00,0.00,Tr,Tr,0.00
"Agar, dried, soaked and drained",Literature sources,84.20,0.03,0.20,0.10,Tr,2.00,7,0.00,,Tr,0.0,0.0,0.0,0.0,0.0,0.0,,15.0,,,Tr,,,,,,,,Tr,,,,Tr,,,,,,,0.00,10.00,20.00,110.00,75.00,8.00,3.50,N,2.50,N,0.40,N,N,0.00,0.00,0.00,0.00,Tr,,0.01,0.04,0.10,N,N,Tr,0.00,0.00,Tr,Tr,0.00
"Alfalfa sprouts, raw",Analytical and literature sources,93.40,0.64,4.00,0.70,0.40,24.00,100,Tr,,0.30,0.1,0.0,0.2,Tr,0.0,0.0,,1.7,,,N,,,,,,,,N,,,,N,,,,,,,0.00,6.00,79.00,32.00,27.00,70.00,1.00,0.16,0.90,N,0.20,N,N,0.00,96.00,16.00,0.00,N,,0.04,0.06,0.50,0.60,1.10,0.03,0.00,36.00,0.56,N,2.00
"Allspice, ground",Literature sources,8.50,0.98,6.10,8.70,N,N,N,N,,N,N,0.0,N,N,0.0,0.0,,N,,,2.50,,,,,,,,0.70,,,,2.40,,,,,,,0.00,77.00,1040.00,660.00,130.00,110.00,7.10,0.55,1.00,N,1.70,N,N,0.00,325.00,54.00,0.00,N,,0.10,0.06,2.90,N,N,N,0.00,0.00,N,N,0.00
"Almonds, flaked and ground",10 samples,4.20,4.07,21.10,55.80,6.90,612.00,2534,2.70,,4.20,Tr,,Tr,4.2,0.0,0.0,0.0,7.4,N,,4.43,19.10,10.19,0.50,0.27,71.60,38.19,,38.19,19.60,10.46,,10.46,8.30,4.43,0.00,0.00,0.00,0.00,0.00,14.00,780.00,240.00,270.00,550.00,3.00,1.00,3.20,18.00,1.70,2.00,2.00,0.00,0.00,0.00,0.00,23.96,,0.21,0.75,3.10,3.40,6.50,0.15,0.00,48.00,0.44,64.00,0.00
"Almonds, toasted",Literature sources,2.40,4.05,21.00,52.50,5.90,579.00,2394.00,0.80,,5.10,Tr,Tr,Tr,5.00,0.10,0.00,0.00,N,10.90,,4.09,,,,,,,,33.08,,,,12.96,,,,,,0.01,0.00,3.00,713.00,268.00,279.00,471.00,3.73,1.10,3.30,18.00,2.23,2.00,2.00,0.00,1.00,Tr,0.00,23.90,0.00,0.08,1.20,3.60,3.50,7.10,0.14,0.00,55.00,0.32,49.00,0.00
"Almonds, weighed with shells",Calculated from 14-896,1.60,1.51,7.80,18.50,1.90,205.00,847.00,0.30,,1.60,0.10,Tr,Tr,1.50,Tr,0.00,0.00,N,4.60,,1.41,,,,,,,,11.67,,,,4.56,,,,,,0.01,0.00,Tr,271.00,100.00,100.00,178.00,1.37,0.38,1.20,7.00,0.81,2.00,1.00,0.00,Tr,Tr,0.00,9.48,0.00,0.08,0.42,1.30,1.30,2.60,0.05,0.00,16.00,0.17,23.70,0.00
"Almonds, whole kernels","Literature sources, Prunus dulcis",4.40,4.09,21.20,49.90,5.30,554.00,2292.00,0.80,,4.50,0.20,0.10,0.10,4.10,Tr,0.00,0.00,N,12.50,,3.80,,,,,,,,31.55,,,,12.33,,,,,,0.02,0.00,1.00,733.00,269.00,270.00,481.00,3.71,1.03,3.10,18.00,2.18,4.00,2.00,0.00,1.00,Tr,0.00,25.63,0.00,0.21,1.14,3.60,3.40,7.00,0.14,0.00,44.00,0.47,64.00,0.00
"Amaranth leaves, boiled in unsalted water",Calculation from raw,90.40,0.48,3.00,0.30,0.30,16.00,67,0.10,,0.20,Tr,0.0,0.2,Tr,0.0,0.0,,N,,,0.10,,,,,,,,0.10,,,,0.10,,,,,,,0.00,11.00,540.00,220.00,110.00,54.00,2.40,0.11,0.50,12.00,0.90,N,N,0.00,1490.00,245.00,0.00,N,,0.03,0.16,0.70,0.80,1.50,N,0.00,51.00,N,N,31.00
"Amaranth leaves, raw",Literature sources,88.90,0.56,3.50,0.30,0.30,18.00,75,0.10,,0.20,Tr,0.0,0.2,Tr,0.0,0.0,,N,,,0.10,,,,,,,,0.10,,,,0.10,,,,,,,0.00,13.00,620.00,270.00,130.00,65.00,3.00,0.13,0.60,14.00,1.00,N,N,0.00,1725.00,285.00,0.00,N,,0.07,0.22,0.70,0.90,1.60,N,0.00,85.00,N,N,42.00
Amla,Literature sources,81.80,0.08,0.50,0.10,13.70,58.00,243,N,,N,N,,N,N,0.0,0.0,,N,,,Tr,,,,,,,,Tr,,,,Tr,,,,,,,0.00,5.00,230.00,50.00,N,20.00,1.20,0.18,N,N,N,N,N,0.00,9.00,1.00,0.00,N,,0.03,0.01,0.20,N,N,N,0.00,N,N,N,N
"Anchovies, canned in oil, drained","10 samples, 4 brands",46.40,4.03,25.20,10.00,0.00,191.00,798,0.00,,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.10,1.60,,,,,,,53.00,5.30,,,18.40,1.80,,,,,0.50,Tr,63.00,5870.00,230.00,300.00,56.00,300.00,4.10,0.17,3.00,9100.00,0.18,N,N,57.00,Tr,57.00,N,N,,Tr,0.10,3.80,4.70,8.50,N,11.00,18.00,N,N,Tr
Anise seeds,Literature sources,9.50,2.82,17.60,15.90,N,N,N,N,,N,N,0.0,N,N,0.0,0.0,,N,,,2.30,,,,,,,,9.80,,,,3.10,,,,,,,0.00,16.00,1440.00,650.00,170.00,440.00,37.00,0.91,5.30,N,2.30,N,N,0.00,N,0.00,0.00,N,,N,N,N,N,N,N,0.00,0.00,N,N,0.00
"Apple juice concentrate, unsweetened, commerical","10 samples, 68.6 Brix; imported commercial concentrate",31.40,0.08,0.50,0.60,57.60,223.00,952,0.00,,57.60,13.2,,33.9,10.4,0.0,0.0,0.0,Tr,,,0.10,,,,,,,,Tr,,,,0.30,,,,,,,0.00,11.00,640.00,35.00,29.00,38.00,1.60,Tr,0.10,7.00,0.50,Tr,Tr,0.00,Tr,Tr,0.00,0.02,,0.01,0.02,0.70,0.10,0.80,0.07,0.00,1.00,0.22,2.00,49.00
"Apple juice, clear, ambient and chilled","10 samples, 9 brands, from concentrate",86.60,0.02,0.10,Tr,9.70,37.00,157,0.00,,9.70,2.4,Tr,5.5,1.8,0.0,0.0,0.0,Tr,Tr,,Tr,,,,,,,,Tr,,,,Tr,,,,,,Tr,0.00,3.00,89.00,6.00,4.00,6.00,0.06,0.01,Tr,64.00,0.03,Tr,Tr,0.00,Tr,Tr,0.00,Tr,,0.05,0.02,0.20,Tr,0.20,0.05,0.00,1.00,0.05,0.90,26.00
"Apple sauce, homemade",Recipe,77.50,0.04,0.30,0.20,20.20,79.00,336,Tr,,20.20,1.6,,4.8,13.7,0.0,0.0,0.0,1.3,1.4,,0.05,,,,,,,,0.02,,,,0.11,,,,,,Tr,0.00,2.00,75.00,5.00,3.00,6.00,0.11,0.03,0.00,N,0.02,Tr,3.00,0.00,0.00,0.00,0.00,0.10,,0.03,0.01,0.10,0.10,0.20,0.04,0.00,1.00,Tr,0.70,9.00
"Apples, cooking, baked with sugar, flesh only",Calculated from 672g apple (14-342) and 40g sugar (17-061),79.90,0.02,0.20,0.40,17.10,69.00,292,Tr,,17.10,2.4,0.0,6.6,8.1,0.0,0.0,0.0,1.4,1.9,,0.07,,,,,,,,0.04,,,,0.14,,,,,,0.00,0.00,1.00,100.00,5.00,3.00,8.00,0.17,0.04,Tr,83.00,0.02,Tr,4.00,0.00,Tr,Tr,0.00,0.12,,0.02,0.04,0.20,0.10,0.30,0.06,0.00,Tr,0.12,1.10,14.00
"Apples, cooking, baked with sugar, flesh only, weighed with skin",Calculated from 14-344 using edible portion of 0.84,67.10,0.02,0.20,0.30,14.30,57.00,243,Tr,,14.30,2.0,0.0,5.5,6.8,0.0,0.0,0.0,1.2,1.6,,0.06,,,,,,,,0.03,,,,0.12,,,,,,0.00,0.00,1.00,84.00,4.00,3.00,6.00,0.14,0.04,Tr,70.00,0.02,Tr,3.00,0.00,Tr,Tr,0.00,0.10,,0.02,0.03,0.20,0.10,0.30,0.05,0.00,Tr,0.10,0.90,12.00
"Apples, cooking, baked without sugar, flesh only",Calculated from 14-320,85.00,0.02,0.20,0.40,11.40,47.00,201,Tr,,11.40,2.5,0.0,7.0,1.9,0.0,0.0,,1.5,2.0,,0.07,,,,,,,,0.04,,,,0.15,,,,,,0.00,0.00,1.00,103.00,3.00,3.00,8.00,0.12,0.04,Tr,86.00,0.02,Tr,4.00,0.00,Tr,Tr,0.00,0.13,,0.02,0.04,0.20,0.10,0.30,0.06,0.00,Tr,0.13,1.20,15.00
"Apples, cooking, baked without sugar, flesh only, weighed with skin",Calculated from 14-342 using edible portion of 0.84,71.40,0.02,0.20,0.30,9.60,40.00,168,Tr,,9.60,2.1,0.0,5.9,1.6,0.0,0.0,,1.3,1.7,,0.06,,,,,,,,0.03,,,,0.13,,,,,,0.00,0.00,1.00,87.00,3.00,3.00,7.00,0.10,0.03,Tr,72.00,0.02,Tr,3.00,0.00,Tr,Tr,0.00,0.13,,0.02,0.03,0.20,0.10,0.30,0.05,0.00,Tr,0.11,1.00,13.00
"Apples, cooking, raw, flesh only, peeled","Bramley apples and unspecified. Analytical data, 1985-86; and 2011-12",87.70,0.05,0.30,0.30,8.90,37.00,159,Tr,,8.90,2.0,,5.9,1.0,0.0,0.0,0.0,1.6,1.7,,0.06,,,,,,,,0.03,,,,0.13,,,,,,0.00,0.00,2.00,88.00,4.00,3.00,7.00,0.10,0.02,Tr,N,0.02,Tr,4.00,0.00,Tr,Tr,0.00,0.12,,0.04,0.02,0.10,0.10,0.20,0.06,0.00,5.00,Tr,1.20,14.00
"Apples, cooking, raw, flesh only, weighed with skin and core",Bramley variety; calculated from 14-362,64.00,0.04,0.20,0.20,6.50,27.00,116,Tr,,6.40,1.5,,4.3,0.7,0.0,0.0,0.0,1.2,1.2,,0.04,,,,,,,,0.02,,,,0.09,,,,,,0.00,0.00,1.00,64.00,3.00,2.00,5.00,0.07,0.01,Tr,N,Tr,Tr,3.00,0.00,Tr,Tr,0.00,0.09,,0.01,0.07,0.10,N,N,0.04,0.00,Tr,N,0.90,10.00
"Apples, cooking, stewed with sugar, flesh only",Calculated from stewed without sugar,77.50,0.03,0.20,0.30,20.80,81.00,346,Tr,,20.80,3.1,0.0,6.7,11.0,0.0,0.0,0.0,1.0,1.4,,0.06,,,,,,,,0.03,,,,0.13,,,,,,0.00,0.00,1.00,81.00,3.00,3.00,6.00,0.10,0.03,Tr,73.00,0.02,Tr,4.00,0.00,Tr,Tr,0.00,0.10,,0.02,0.03,0.20,0.10,0.30,0.05,0.00,Tr,0.11,0.90,11.00
"Apples, cooking, stewed without sugar, flesh only","22 samples, autumn and winter, UK grown pre-packed and loose, including Bramley and unspecified varieties",87.30,0.02,0.20,0.30,9.70,40.00,169,Tr,,9.70,2.1,Tr,5.9,1.7,0.0,0.0,0.0,1.3,1.7,,0.06,,,,,,,,0.03,,,,0.13,,,,,,0.00,0.00,1.00,87.00,3.00,3.00,7.00,0.10,0.03,Tr,73.00,0.02,Tr,4.00,0.00,Tr,Tr,0.00,0.11,,0.02,0.03,0.20,0.10,0.30,0.05,0.00,Tr,0.11,1.00,12.00
"Apples, eating, dried","6 samples, 3 brands and calculation from 14-014",21.60,0.32,2.00,0.50,60.10,238.00,1014,Tr,,60.10,8.6,,31.7,19.9,0.0,0.0,,9.7,,,0.10,,,,,,,,Tr,,,,0.30,,,,,,,0.00,16.00,540.00,16.00,16.00,43.00,0.50,0.11,0.50,1.00,0.50,Tr,Tr,0.00,91.00,15.00,0.00,1.45,,N,N,N,0.30,N,N,0.00,Tr,Tr,N,Tr
"Apples, eating, raw, flesh and skin","22 samples, autumn and winter, UK grown and imported, pre-packed and loose, including Gala, Braeburn, Golden Delicious, Pink Lady, Cox and Granny Smith",86.20,0.10,0.60,0.50,11.60,51.00,215,Tr,,11.60,2.1,Tr,6.7,2.8,0.0,0.0,0.0,1.3,1.2,,0.12,,,,,,,,0.04,,,,0.20,,,,,,0.00,0.00,1.00,100.00,5.00,4.00,8.00,0.09,0.03,Tr,44.00,0.04,Tr,4.00,0.00,14.00,2.00,0.00,0.09,5.60,0.04,0.04,0.10,Tr,0.10,0.07,0.00,Tr,0.10,1.10,6.00
"Apples, eating, raw, flesh and skin, weighed with core",Calculated from 14-319 using edible portion of 0.87,75.00,0.08,0.50,0.40,10.00,43.00,183,Tr,,10.00,1.8,,5.8,2.4,0.0,0.0,,1.1,1.0,,0.10,,,,,,,,0.03,,,,0.17,,,,,,0.00,0.00,1.00,87.00,5.00,4.00,7.00,0.08,0.03,Tr,38.00,0.03,Tr,4.00,0.00,12.00,2.00,0.00,0.08,4.87,0.03,0.03,0.10,Tr,0.10,0.06,0.00,Tr,0.09,1.00,5.00
"Apricots, dried",No stones,14.70,0.77,4.80,0.70,43.40,188.00,802,0.00,,43.40,20.8,,10.0,12.6,0.0,0.0,,7.7,,,N,,,,,,,,N,,,,N,,,,,,,0.00,56.00,1880.00,92.00,65.00,120.00,4.10,0.40,0.70,35.00,0.40,7.00,N,0.00,645.00,105.00,0.00,N,,Tr,0.20,3.00,0.60,3.60,0.17,0.00,14.00,0.70,N,Tr
"Apricots, dried, stewed with sugar","Calculated from 450g fruit, 770g water, 54g sugar",61.80,0.30,1.90,0.30,22.00,92.00,393,0.00,,22.00,8.7,,4.4,8.9,0.0,0.0,,3.0,,,Tr,,,,,,,,Tr,,,,Tr,,,,,,,0.00,21.00,740.00,36.00,25.00,47.00,1.60,0.16,0.30,13.00,0.20,3.00,N,0.00,255.00,43.00,0.00,N,,Tr,0.06,0.90,0.20,1.10,0.05,0.00,1.00,0.21,N,Tr
"Apricots, dried, stewed without sugar","Calculated from 450g fruit, 770g water",65.00,0.32,2.00,0.30,17.80,77.00,328,0.00,,17.80,8.8,,4.4,4.7,0.0,0.0,,3.2,,,Tr,,,,,,,,Tr,,,,Tr,,,,,,,0.00,22.00,770.00,37.00,26.00,49.00,1.70,0.16,0.30,14.00,0.20,3.00,N,0.00,265.00,44.00,0.00,N,,Tr,0.06,0.90,0.30,1.20,0.06,0.00,1.00,0.22,N,Tr
"Apricots, raw, flesh and skin",18 samples,87.20,0.14,0.90,0.10,7.20,31.00,134,0.00,,7.20,1.6,,0.9,4.6,0.0,0.0,0.0,1.7,N,,Tr,,,,,,,,Tr,,,,Tr,,,,,,0.00,0.00,2.00,270.00,15.00,11.00,20.00,0.50,0.06,0.10,3.00,0.10,1.00,N,0.00,405.00,67.00,0.00,N,,0.04,0.05,0.50,0.10,0.60,0.08,0.00,5.00,0.24,N,6.00
"Apricots, raw, flesh and skin, weighed with stones",Calculated from 14-025,80.20,0.13,0.80,0.10,6.60,29.00,123,0.00,,6.60,1.5,,0.8,4.2,0.0,0.0,0.0,1.6,,,Tr,,,,,,,,Tr,,,,Tr,,,,,,0.00,0.00,2.00,250.00,14.00,10.00,18.00,0.50,0.05,0.10,3.00,0.10,1.00,N,0.00,375.00,63.00,0.00,N,,0.04,0.05,0.50,0.10,0.60,0.07,0.00,5.00,0.22,N,5.00
"Apricots, ready-to-eat, semi-dried","10 samples, 8 products, including soft, ready-to-eat and partially rehydrated",39.60,0.35,2.20,0.50,39.40,161.00,686.00,0.00,,39.40,25.10,0.00,10.40,3.90,0.00,0.00,0.00,6.30,5.30,33.68,0.13,31.31,0.13,30.96,0.12,5.42,0.02,5.53,0.02,62.34,0.25,62.34,0.25,33.64,0.13,0.04,Tr,0.11,Tr,0.00,9.00,1039.00,71.00,34.00,67.00,1.35,0.30,0.25,10.00,0.24,Tr,18.00,0.00,550.00,92.00,0.00,3.68,,0.02,0.01,2.50,0.10,2.60,0.09,0.00,13.00,0.26,0.50,1.00
"Apricots, stewed with sugar","1000g fruit, 100g water, 120g sugar; stones removed",76.90,0.11,0.70,0.10,18.30,72.00,308,0.00,,18.30,2.2,,2.1,14.0,0.0,0.0,,1.6,,,Tr,,,,,,,,Tr,,,,Tr,,,,,,,0.00,1.00,190.00,12.00,7.00,7.00,0.80,0.05,0.10,2.00,Tr,1.00,N,0.00,105.00,17.00,0.00,N,,0.02,0.03,0.50,0.10,0.60,0.05,0.00,Tr,0.15,N,4.00
"Apricots, stewed with sugar, weighed with stones",Calculated from 14-027,71.70,0.10,0.60,0.10,17.10,67.00,288,0.00,,17.10,2.1,,2.0,13.1,0.0,0.0,,1.5,,,Tr,,,,,,,,Tr,,,,Tr,,,,,,,0.00,1.00,180.00,11.00,7.00,7.00,0.70,0.05,0.10,2.00,Tr,1.00,N,0.00,98.00,16.00,0.00,N,,0.02,0.03,0.50,0.10,0.60,0.05,0.00,Tr,0.14,N,4.00
"Apricots, stewed without sugar","500g fruit, 75g water; stones removed",88.30,0.12,0.70,0.10,6.20,27.00,115,0.00,,6.20,1.6,,1.0,3.5,0.0,0.0,,1.5,,,Tr,,,,,,,,Tr,,,,Tr,,,,,,,0.00,1.00,200.00,13.00,7.00,7.00,0.80,0.05,0.10,2.00,0.10,1.00,N,0.00,110.00,18.00,0.00,N,,0.03,0.03,0.30,0.10,0.40,0.05,0.00,1.00,0.15,N,4.00
"Apricots, stewed without sugar, weighed with stones",Calculated from 14-029,82.10,0.11,0.70,0.10,5.80,25.00,108,0.00,,5.80,1.5,,0.9,3.3,0.0,0.0,,1.4,,,Tr,,,,,,,,Tr,,,,Tr,,,,,,,0.00,1.00,190.00,12.00,7.00,7.00,0.70,0.05,0.10,2.00,0.10,1.00,N,0.00,100.00,17.00,0.00,N,,0.03,0.03,0.30,0.10,0.40,0.05,0.00,1.00,0.14,N,4.00
"Arrowhead, boiled in unsalted water",Calculated from raw,75.50,0.67,4.20,0.30,17.80,91.00,385,N,,N,N,0.0,N,N,0.0,0.0,,N,,,N,,,,,,,,N,,,,N,,,,,,,0.00,18.00,610.00,11.00,43.00,140.00,2.20,N,N,N,N,N,N,0.00,0.00,0.00,0.00,Tr,,0.13,0.03,1.20,N,N,N,0.00,N,N,N,1.00
"Arrowhead, raw",Literature sources,70.60,0.80,5.00,0.30,21.50,107.00,448,N,,N,N,0.0,N,N,0.0,0.0,,N,,,N,,,,,,,,N,,,,N,,,,,,,0.00,22.00,730.00,13.00,51.00,170.00,2.60,N,N,N,N,N,N,0.00,0.00,0.00,0.00,Tr,,0.16,0.04,1.40,N,N,N,0.00,N,N,N,5.00
Arrowroot,2 samples from different shops,12.20,0.07,0.40,0.10,94.00,355.00,1515,94.00,,Tr,Tr,,0.0,Tr,0.0,0.0,,0.1,,,,,,,,,,,,,,,,,,,,,,,5.00,18.00,7.00,8.00,27.00,2.00,0.22,Tr,7.00,N,N,N,,,0.00,0.00,Tr,,Tr,Tr,Tr,0.10,0.10,Tr,0.00,Tr,Tr,Tr,0.00
"Artichoke, globe, base of leaves and heart, boiled in unsalted water",Base of leaves and heart; boiled 35 minutes,84.40,0.47,2.90,0.20,2.70,18.00,78,Tr,,1.30,0.8,0.0,0.4,0.1,0.0,0.0,,N,,,0.10,,,,,,,,Tr,,,,0.10,,,,,,,0.00,15.00,330.00,44.00,27.00,40.00,0.50,0.09,0.50,84.00,0.30,Tr,N,0.00,90.00,15.00,0.00,0.19,,Tr,0.02,1.00,0.50,1.50,0.02,0.00,50.00,0.34,4.10,1.00
"Artichoke, globe, boiled, weighed as served",Calculated from boiled in unsalted water,36.30,0.20,1.20,0.10,1.20,8.00,34,Tr,,0.60,0.3,0.0,0.2,Tr,0.0,0.0,,N,,,Tr,,,,,,,,Tr,,,,Tr,,,,,,,0.00,6.00,140.00,19.00,12.00,17.00,0.20,0.04,0.20,36.00,0.10,Tr,N,0.00,39.00,6.00,0.00,0.08,,Tr,0.01,0.40,0.20,0.60,0.01,0.00,21.00,0.15,1.80,Tr
"Artichoke, globe, raw",Literature sources,85.20,0.45,2.80,0.20,2.70,18.00,77,Tr,,1.30,0.8,0.0,0.4,0.1,0.0,0.0,,N,,,0.10,,,,,,,,Tr,,,,0.10,,,,,,,0.00,27.00,360.00,41.00,22.00,38.00,0.70,0.09,0.50,N,0.30,Tr,N,0.00,90.00,15.00,0.00,0.19,,0.06,0.05,1.30,0.50,1.80,0.03,0.00,68.00,0.34,4.10,2.00
"Artichoke, Jerusalem, boiled in unsalted water, flesh only",Boiled 20 minutes,80.20,0.25,1.60,0.10,10.60,41.00,207,Tr,,1.60,0.1,0.0,0.2,1.3,0.0,0.0,,3.5,,,Tr,,,,,,,,Tr,,,,Tr,,,,,,,0.00,3.00,420.00,30.00,11.00,33.00,0.40,0.12,0.10,58.00,N,N,N,0.00,20.00,3.00,0.00,0.20,,0.10,Tr,0.90,0.40,1.30,N,0.00,N,N,N,2.00
Asafoetida,Resin from root of Ferula plant. Literature sources,16.00,0.64,4.00,1.10,N,N,N,N,,N,N,0.0,N,N,0.0,0.0,,N,,,N,,,,,,,,N,,,,N,,,,,,,0.00,N,N,690.00,N,50.00,22.20,N,N,N,N,N,N,0.00,4.00,1.00,0.00,N,,Tr,0.04,0.30,N,N,N,0.00,N,N,N,0.00
"Asparagus, grilled","Calculated from steamed. Water and fat analysed, 2017. 7 samples, fresh, imported, including tips and thicker stems. Tough base of stems removed, grilled for 4-6 minutes",90.90,0.56,3.50,0.40,2.00,25.10,106.30,Tr,,2.00,0.50,0.00,1.10,0.40,0.00,0.00,0.00,1.70,1.60,,0.06,,,,,,,,0.12,,,,0.18,,,,,,0.00,0.00,3.00,339.00,27.00,15.00,78.00,0.60,0.14,0.61,85.00,0.16,11.00,Tr,0.00,232.00,39.00,0.00,1.74,,0.11,0.17,1.80,0.60,2.40,0.18,0.00,122.00,0.38,0.30,10.00
"Asparagus, raw",Tough base of stems removed,91.40,0.47,2.90,0.60,2.00,25.00,103,0.10,,1.90,0.7,0.0,1.1,0.1,0.0,0.0,0.0,1.7,N,,0.10,,,,,,,,0.10,,,,0.20,,,,,,0.00,0.00,1.00,260.00,27.00,13.00,72.00,0.70,0.08,0.70,60.00,0.20,1.00,Tr,0.00,315.00,53.00,0.00,1.16,,0.16,0.06,1.00,0.50,1.50,0.09,0.00,175.00,0.17,0.40,12.00
"Asparagus, roasted in rapeseed oil","Calculated from steamed. Water and fat analysed, 2017. 7 samples, fresh, imported, including tips and thicker stems, tough base of stems removed. Roasted in 0.5-1 tbsp oil for 10 minutes",89.80,0.56,3.50,1.50,2.00,35.00,147.00,Tr,,2.00,0.50,0.00,1.10,0.40,0.00,0.00,0.00,1.70,1.60,,0.12,,,,,,,,0.75,,,,0.47,,,,,,Tr,0.00,4.00,342.00,28.00,15.00,79.00,0.60,0.14,0.60,86.00,0.16,11.00,Tr,0.00,234.00,39.00,0.00,1.69,,0.11,0.17,1.80,0.70,2.50,0.18,0.00,123.00,0.39,0.30,10.00
"Asparagus, steamed","11 samples, fresh, UK and imported, including tips and thicker stems. Tough base of stems removed, steamed for 3-18 minutes",92.40,0.46,2.90,0.40,1.60,21.00,90.00,Tr,,1.60,0.40,0.00,0.90,0.30,0.00,0.00,0.00,1.40,1.30,,0.05,,,,,,,,0.10,,,,0.15,,,,,,0.00,0.00,3.00,283.00,23.00,12.00,66.00,0.50,0.12,0.50,71.00,0.13,9.00,Tr,0.00,194.00,32.00,0.00,1.45,,0.09,0.14,1.50,0.50,2.00,0.15,0.00,102.00,0.32,0.30,8.00
"Aubergine, flesh and skin, boiled in unsalted water","11 samples, UK and imported. Cut into chunks and boiled for 10-30 minutes",95.20,0.12,0.70,0.50,1.80,14.00,59.00,0.20,,1.60,0.70,0.00,0.60,0.30,0.00,0.00,0.00,2.00,1.80,,0.13,,,,,,,,Tr,,,,0.25,,,,,,0.00,0.00,1.00,136.00,8.00,9.00,20.00,0.17,0.03,0.08,9.00,0.15,Tr,1.00,0.00,33.00,6.00,0.00,0.02,,0.01,0.01,0.10,0.20,0.30,0.03,0.00,7.00,0.04,0.40,1.00
"Aubergine, flesh and skin, roasted in rapeseed oil","11 samples, UK and imported, roasted in a small amount of rapeseed oil for 20-30 minutes",83.90,0.34,2.10,3.80,5.20,62.00,260.00,0.60,,4.60,2.00,0.00,1.70,0.90,0.00,0.00,0.00,5.70,5.10,,0.35,,,,,,,,1.96,,,,1.22,,,,,,Tr,0.00,2.00,389.00,24.00,27.00,57.00,0.49,0.09,0.20,26.00,0.43,Tr,3.00,0.00,94.00,16.00,0.00,0.75,,0.03,0.03,0.30,0.60,0.90,0.09,0.00,20.00,0.11,1.00,3.00
"Aubergine, fried in butter",Calculation from fried in corn oil,59.50,0.19,1.20,31.90,2.80,302.00,1262,0.20,,2.60,1.4,0.0,1.1,0.1,0.0,0.0,,2.3,,,21.10,,,,,,,,7.70,,,,1.00,,,,,,,73.00,2.00,170.00,8.00,8.00,25.00,0.50,0.03,0.10,16.00,0.20,1.00,1.00,0.00,125.00,21.00,0.00,5.50,,0.00,Tr,Tr,0.20,0.20,0.07,0.00,5.00,0.07,N,1.00
"Aubergine, fried in corn oil",Sliced; shallow fried 10 minutes,59.50,0.19,1.20,31.90,2.80,302.00,1246,0.20,,2.60,1.4,0.0,1.1,0.1,0.0,0.0,0.0,2.3,N,,4.10,,,,,,,,7.90,,,,18.50,,,,,,N,0.00,2.00,170.00,8.00,8.00,25.00,0.50,0.03,0.10,16.00,0.20,1.00,1.00,0.00,125.00,21.00,0.00,5.50,10.30,Tr,Tr,Tr,0.20,0.20,0.07,0.00,5.00,0.07,N,1.00
