Food Name,Description,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Copper (mg),Zinc (mg),Chloride (mg),Manganese (mg),Selenium (µg),Iodine (µg),Retinol (µg),Carotene (µg),Retinol Equivalent (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K1 (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Niacin equivalent (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg)
"Plums, Victoria, flesh and skin, raw",Flesh and skin,86.00,0.09,0.60,0.10,9.60,39.00,168,0.00,,9.60,4.7,,2.2,2.7,0.0,0.0,,1.8,,,Tr,,,,,,,,Tr,,,,Tr,,,,,,,0.00,2.00,190.00,11.00,7.00,16.00,0.40,0.10,Tr,Tr,0.10,Tr,Tr,0.00,295.00,49.00,0.00,0.61,,0.05,0.03,0.50,0.10,0.60,0.05,0.00,3.00,0.15,Tr,6.00
"Plums, Victoria, flesh and skin, raw, weighed with stones",Calculated from 14-220,80.80,0.08,0.50,0.10,9.00,37.00,156,0.00,,9.00,4.4,,2.1,2.5,0.0,0.0,,1.7,,,Tr,,,,,,,,Tr,,,,Tr,,,,,,,0.00,2.00,180.00,10.00,7.00,15.00,0.40,0.09,Tr,Tr,0.10,Tr,Tr,0.00,275.00,46.00,0.00,0.57,,0.05,0.03,0.50,0.10,0.60,0.05,0.00,3.00,0.14,Tr,6.00
"Plums, Victoria, stewed without sugar","700g fruit, 100g water; stones removed",87.20,0.08,0.50,0.10,8.30,34.00,145,0.00,,8.30,4.2,,2.0,2.1,0.0,0.0,,1.6,,,Tr,,,,,,,,Tr,,,,Tr,,,,,,,0.00,2.00,170.00,10.00,6.00,14.00,0.30,0.09,Tr,Tr,0.10,Tr,Tr,0.00,69.00,11.00,0.00,0.53,,0.03,0.02,0.30,0.10,0.40,0.03,0.00,2.00,0.10,Tr,4.00
"Plums, Victoria, stewed without sugar, weighed with stones",Calculated from 14-222,82.80,0.08,0.50,0.10,7.90,33.00,139,0.00,,7.90,4.0,,1.9,2.0,0.0,0.0,,1.5,,,Tr,,,,,,,,Tr,,,,Tr,,,,,,,0.00,2.00,160.00,9.00,6.00,13.00,0.30,0.09,Tr,Tr,0.10,Tr,Tr,0.00,65.00,11.00,0.00,0.50,,0.03,0.02,0.30,0.10,0.40,0.03,0.00,2.00,0.10,Tr,4.00
"Plums, yellow, flesh and skin, raw",Literature sources;,89.00,0.08,0.50,0.10,5.90,25.00,107,0.00,,5.90,2.1,,1.4,2.4,0.0,0.0,,1.0,,,Tr,,,,,,,,Tr,,,,Tr,,,,,,,0.00,1.00,190.00,7.00,5.00,23.00,0.20,0.10,0.10,Tr,0.10,Tr,Tr,0.00,125.00,21.00,0.00,0.61,,0.03,0.05,0.60,0.10,0.70,0.05,0.00,3.00,0.15,Tr,5.00
"Plums, yellow, flesh and skin, raw, weighed with stones",Calculated from 14-224,85.40,0.08,0.50,0.10,5.70,24.00,103,0.00,,5.70,2.0,,1.3,2.3,0.0,0.0,,1.0,,,Tr,,,,,,,,Tr,,,,Tr,,,,,,,0.00,1.00,180.00,7.00,5.00,22.00,0.20,0.10,0.10,Tr,0.10,Tr,Tr,0.00,120.00,20.00,0.00,0.59,,0.03,0.05,0.60,0.10,0.70,0.05,0.00,3.00,0.14,Tr,5.00
"Polenta, hydrated, raw","4 samples, 2 products, corn based",77.10,0.30,1.90,0.40,15.20,68.00,290,15.20,,Tr,Tr,,Tr,Tr,0.0,0.0,0.0,0.6,1.7,17.05,0.05,61.06,0.18,2.25,0.01,19.17,0.06,19.21,0.06,63.58,0.19,63.74,0.19,17.05,0.05,,,0.19,Tr,0.00,541.00,27.00,6.00,7.00,20.00,0.13,Tr,0.10,813.00,0.02,Tr,Tr,0.00,Tr,Tr,0.00,Tr,,0.05,Tr,0.30,0.20,0.50,0.02,0.00,5.00,0.12,0.50,0.00
"Pollock, Alaskan, flesh only, baked","Frozen and chilled, calculated from raw 16-378 using 41.8% weight loss",72.00,4.51,28.20,1.20,0.00,124.00,523,0.00,0.0,0.00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.24,,0.02,,0.25,,0.28,,0.29,,0.27,,0.27,,,,,,0.01,84.50,117.00,371.00,21.00,51.00,207.00,0.31,0.05,0.70,172.00,0.02,46.00,97.00,Tr,Tr,Tr,Tr,1.03,,0.04,0.12,3.60,4.50,8.10,0.06,3.60,7.00,0.30,2.00,Tr
"Pollock, Alaskan, flesh only, raw","9 samples, 8 products, frozen and chilled",83.70,2.62,16.40,0.70,0.00,72.00,305,0.00,,0.00,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,28.58,0.14,,0.01,,0.14,33.85,0.17,,0.17,31.90,0.16,,0.16,,,,,1.18,0.01,49.00,68.00,216.00,12.00,30.00,120.00,0.18,0.03,0.40,100.00,0.01,27.00,56.00,Tr,Tr,Tr,Tr,0.60,,0.03,0.09,2.60,2.60,5.20,0.04,2.30,5.00,0.22,1.30,Tr
"Pollock, Alaskan, flesh only, steamed",Calculated from 16-378 using 40% weight loss,72.80,4.38,27.40,1.20,0.00,120.00,508,0.00,0.0,0.00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.23,,0.02,,0.24,,0.28,,0.29,,0.26,,0.26,,,,,,0.01,82.10,114.00,360.00,20.00,49.00,201.00,0.30,0.05,0.60,167.00,0.02,44.00,94.00,Tr,Tr,Tr,Tr,1.00,,0.05,0.15,3.90,4.30,8.20,0.07,3.90,9.00,0.29,2.00,Tr
Pomegranate juice drink,with added sugar,85.40,0.03,0.20,Tr,11.60,44.00,189,0.00,,11.60,6.3,,5.1,0.2,0.0,0.0,,Tr,Tr,,Tr,,,,,,,,Tr,,,,Tr,,,,,,Tr,0.00,1.00,200.00,3.00,3.00,8.00,0.20,0.07,N,53.00,N,N,N,0.00,33.00,6.00,0.00,N,,0.02,0.03,0.20,Tr,0.20,0.31,0.00,N,0.57,N,30.00
"Pomegranate, flesh and pips",Analysis and literature sources;,80.00,0.21,1.30,0.20,11.80,51.00,218,0.00,,11.80,6.4,,5.2,0.2,0.0,0.0,0.0,3.4,N,,Tr,,,,,,,,0.10,,,,0.10,,,,,,0.00,0.00,2.00,240.00,12.00,11.00,29.00,0.70,0.17,0.40,2.00,N,N,N,0.00,33.00,5.00,0.00,N,,0.05,0.04,0.30,0.20,0.50,0.31,0.00,N,0.57,N,13.00
"Pomegranate, flesh and pips, weighed with skin",Calculated from 14-226,52.00,0.14,0.90,0.10,7.70,33.00,142,0.00,,7.70,4.2,,3.4,0.1,0.0,0.0,,2.2,,,N,,,,,,,,N,,,,N,,,,,,,0.00,1.00,160.00,8.00,7.00,19.00,0.50,0.11,0.30,1.00,N,N,N,0.00,21.00,4.00,0.00,N,,0.03,0.03,0.20,0.10,0.30,0.20,0.00,N,0.37,N,8.00
"Pomelo, flesh only",Literature sources;,90.20,0.10,0.60,0.20,6.80,30.00,126,0.00,,6.80,2.1,,2.3,2.4,0.0,0.0,,N,,,Tr,,,,,,,,0.10,,,,0.10,,,,,,,0.00,1.00,230.00,27.00,6.00,20.00,0.30,0.05,0.10,3.00,Tr,N,N,0.00,23.00,4.00,0.00,0.09,,0.05,0.03,0.20,0.10,0.30,0.04,0.00,26.00,0.28,1.00,45.00
"Pomelo, flesh only, weighed with peel and pips",Calculated from 14-228,55.00,0.06,0.40,0.10,4.10,18.00,76,0.00,,4.10,1.3,,1.4,1.5,0.0,0.0,,N,,,N,,,,,,,,N,,,,N,,,,,,,0.00,1.00,140.00,16.00,4.00,12.00,0.20,0.03,0.10,2.00,Tr,N,N,0.00,14.00,2.00,0.00,0.05,,0.03,0.02,0.10,0.10,0.20,0.02,0.00,16.00,0.17,0.60,27.00
"Pomfret, black, raw",Literature sources,77.50,3.00,18.80,2.60,0.00,99.00,416,0.00,,0.00,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.70,,,,,,,,0.30,,,,0.80,,,,,,,N,110.00,430.00,32.00,N,250.00,1.90,N,N,N,N,N,N,Tr,Tr,Tr,Tr,N,,0.02,0.09,2.10,3.50,5.60,N,N,N,N,N,Tr
"Pomfret, white, raw",Literature sources,74.90,2.93,18.30,2.10,0.00,92.00,389,0.00,,0.00,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.60,,,,,,,,0.40,,,,0.40,,,,,,,N,94.00,320.00,72.00,N,300.00,0.90,0.05,1.30,N,0.18,N,N,Tr,Tr,Tr,Tr,N,,0.16,0.19,3.70,3.40,7.10,0.45,2.00,N,N,N,Tr
"Popcorn, candied",Estimated from 2013 label data,4.20,1.10,6.90,23.80,60.70,469.00,1969,45.70,,15.00,Tr,0.0,Tr,15.0,0.0,0.0,0.0,N,9.5,,N,,,,,,,,N,,,,N,,,,,,N,0.00,Tr,N,N,N,N,N,N,N,N,N,N,Tr,0.00,N,N,0.00,N,,N,N,N,N,N,N,0.00,N,N,N,0.00
"Popcorn, salted, retail",Estimated from label data,4.30,1.44,9.00,23.50,59.30,470.00,1971,58.70,,0.60,Tr,0.0,Tr,0.6,0.0,0.0,0.0,N,9.3,,N,,,,,,,,N,,,,N,,,,,,N,0.00,730.00,N,N,N,N,N,N,N,1120.00,N,N,N,0.00,N,N,0.00,N,,N,N,N,N,N,N,0.00,N,N,N,0.00
Poppy seeds,Literature sources,6.00,3.29,20.60,47.10,N,N,N,N,,N,N,0.0,N,N,0.0,0.0,,N,,,6.80,60.40,27.20,1.00,0.45,23.50,10.58,,10.58,61.40,27.65,,27.65,15.10,6.80,0.00,0.00,0.00,0.00,0.00,21.00,700.00,1580.00,330.00,840.00,11.10,1.63,8.50,N,6.80,N,N,0.00,Tr,0.00,0.00,2.72,,0.85,0.17,1.00,N,N,0.44,0.00,0.00,N,N,0.00
"Pork chops in mustard and cream, homemade",Recipe,60.49,2.48,15.50,19.40,1.00,263.00,1090.00,Tr,,1.00,0.20,,0.30,0.10,0.00,0.40,3.20,0.20,0.20,,7.61,,,,,,,,7.92,,,,2.64,,,,,,0.15,56.10,200.00,296.00,29.00,23.00,150.00,0.57,0.05,1.00,140.00,0.08,N,N,54.00,32.00,86.00,0.60,0.57,,0.31,0.10,4.50,3.00,7.50,0.17,0.30,3.00,0.47,2.90,Tr
"Pork chops in mustard and cream, homemade, weighed with bone",Recipe,53.30,2.17,13.60,17.00,0.90,230.00,954.00,Tr,,0.90,0.20,,0.20,0.10,0.00,0.40,2.80,0.20,0.10,,6.66,,,,,,,,6.94,,,,2.31,,,,,,0.13,49.20,175.00,259.00,25.00,21.00,132.00,0.50,0.04,0.85,123.00,0.07,N,N,47.00,28.00,52.00,0.60,0.50,,0.27,0.08,3.90,2.70,6.60,0.15,0.30,3.00,0.41,2.50,Tr
"Pork pie, individual","10 samples, 10 products",32.10,1.58,9.90,26.00,25.70,370.00,1542,24.20,,1.50,0.2,Tr,Tr,0.1,1.2,Tr,,1.2,2.9,40.86,10.12,13.10,3.25,1.39,0.34,44.00,10.90,44.25,10.96,14.49,3.59,14.49,3.59,40.58,10.05,0.28,0.07,0.25,0.06,34.70,542.00,153.00,53.00,7.00,23.00,2.89,0.04,0.50,830.00,0.07,1.00,2.00,Tr,Tr,Tr,Tr,2.11,,0.08,0.11,1.70,1.70,3.40,0.18,0.20,2.00,0.24,0.70,4.00
Pork scratchings,"19 samples, 4 brands",2.10,7.66,47.90,46.00,0.20,606.00,2520,Tr,,0.20,0.2,0.0,Tr,Tr,0.0,0.0,0.0,0.3,N,,16.58,7.30,3.21,0.60,0.26,54.00,23.75,,23.93,7.90,3.47,,3.69,37.70,16.58,0.00,0.00,0.40,0.18,129.20,1320.00,300.00,32.00,18.00,180.00,2.40,0.20,1.60,2090.00,0.09,N,N,0.00,0.00,0.00,Tr,N,,0.56,0.20,4.20,2.50,6.70,0.05,N,N,N,N,0.00
