name,category,usda_id,source,energy,protein,fat,sat_fat,carbohydrate,total_sugar,starch,fibre,sodium,potassium,calcium,magnesium,phosphorus,iron,copper,zinc,manganese,selenium,iodine,vit_a,vit_c,vit_d,vit_e,vit_k,vit_b1,vit_b2,vit_b3,vit_b6,vit_b12,vit_b9,vit_b7
"Classic mixed vegetables, cooked, from restaurant",Other vegetables and combinations,2710012,survey.json,100,2.84,4.74,1.2,12.4,4.64,,3.4,0.227,0.265,0.025,0.027,0.068,0.00069,0.000096,0.00056,0,0.0000007,0,0.000018,0.0136,0,0.00094,0.0000237,0.00012,0.00009,0.00139,0.000143,0,0.000037,0
"Classic mixed vegetables, frozen, cooked, no added fat",Other vegetables and combinations,2710013,survey.json,65,2.85,0.15,0.031,13,3.11,,4.4,0.151,0.168,0.025,0.022,0.051,0.00082,0.000083,0.00049,0,0.0000003,0,0,0.0032,0,0.00038,0.0000234,0.000071,0.00012,0.000848,0.000074,0,0.000019,0
"Classic mixed vegetables, canned, cooked, no added fat",Other vegetables and combinations,2710014,survey.json,46,2.11,0.65,0.129,8.84,2.8,,2.6,0.25,0.128,0.022,0.013,0.04,0.00072,0.000071,0.00036,0,0.0000008,0,0,0.0026,0,0.00031,0.0000214,0.000043,0.000054,0.000686,0.000059,0,0.000024,0
"Classic mixed vegetables, NS as to form, cooked",Other vegetables and combinations,2710015,survey.json,86,2.78,2.69,0.696,12.7,3.02,,4.3,0.155,0.164,0.025,0.021,0.05,0.0008,0.00008,0.00048,0,0.0000003,0,0.000011,0.0031,0,0.00075,0.0000248,0.000069,0.000116,0.000824,0.000088,0,0.000018,0
"Classic mixed vegetables, frozen, cooked, fat added, NS as to fat type",Other vegetables and combinations,2710016,survey.json,86,2.78,2.69,0.696,12.7,3.02,,4.3,0.155,0.164,0.025,0.021,0.05,0.0008,0.00008,0.00048,0,0.0000003,0,0.000011,0.0031,0,0.00075,0.0000248,0.000069,0.000116,0.000824,0.000088,0,0.000018,0
"Classic mixed vegetables, canned, cooked, fat added, NS as to fat type",Other vegetables and combinations,2710017,survey.json,68,2.06,3.18,0.794,8.59,2.72,,2.5,0.252,0.125,0.021,0.013,0.039,0.0007,0.000069,0.00035,0,0.0000008,0,0.000011,0.0025,0,0.00068,0.0000229,0.000042,0.000053,0.000666,0.000074,0,0.000024,0
"Classic mixed vegetables, frozen, cooked with oil",Other vegetables and combinations,2710018,survey.json,89,2.77,3.05,0.418,12.7,3.02,,4.3,0.146,0.164,0.024,0.021,0.049,0.0008,0.00008,0.00047,0,0.0000003,0,0,0.0031,0,0.00092,0.0000257,0.000069,0.000116,0.000824,0.000072,0,0.000018,0
"Classic mixed vegetables, frozen, cooked with butter or margarine",Other vegetables and combinations,2710019,survey.json,83,2.78,2.33,0.974,12.7,3.03,,4.3,0.163,0.164,0.025,0.021,0.05,0.0008,0.00008,0.00048,0,0.0000003,0,0.000022,0.0031,0,0.00058,0.000024,0.000069,0.000117,0.000824,0.000104,0,0.000018,0
"Classic mixed vegetables, canned, cooked with oil",Other vegetables and combinations,2710020,survey.json,71,2.05,3.54,0.515,8.58,2.72,,2.5,0.243,0.125,0.021,0.013,0.039,0.0007,0.000069,0.00035,0,0.0000008,0,0,0.0025,0,0.00085,0.0000237,0.000042,0.000053,0.000666,0.000057,0,0.000024,0
"Classic mixed vegetables, canned, cooked with butter or margarine",Other vegetables and combinations,2710021,survey.json,64,2.07,2.83,1.07,8.59,2.73,,2.5,0.26,0.125,0.022,0.013,0.039,0.0007,0.000069,0.00035,0,0.0000008,0,0.000022,0.0025,0.0000001,0.00051,0.000022,0.000042,0.000053,0.000666,0.00009,0,0.000024,0
